midi,note,frequency_hz,wav_file,category,root_key,bpm_tracking
21,A0,27.5,notes/021_A0.wav,single_note,A0,
22,A#0,29.135235,notes/022_As0.wav,single_note,A#0,
23,B0,30.867706,notes/023_B0.wav,single_note,B0,
24,C1,32.703196,notes/024_C1.wav,single_note,C1,
25,C#1,34.647829,notes/025_Cs1.wav,single_note,C#1,
26,D1,36.708096,notes/026_D1.wav,single_note,D1,
27,D#1,38.890873,notes/027_Ds1.wav,single_note,D#1,
28,E1,41.203445,notes/028_E1.wav,single_note,E1,
29,F1,43.653529,notes/029_F1.wav,single_note,F1,
30,F#1,46.249303,notes/030_Fs1.wav,single_note,F#1,
31,G1,48.999429,notes/031_G1.wav,single_note,G1,
32,G#1,51.913087,notes/032_Gs1.wav,single_note,G#1,
33,A1,55.0,notes/033_A1.wav,single_note,A1,
34,A#1,58.27047,notes/034_As1.wav,single_note,A#1,
35,B1,61.735413,notes/035_B1.wav,single_note,B1,
36,C2,65.406391,notes/036_C2.wav,single_note,C2,
37,C#2,69.295658,notes/037_Cs2.wav,single_note,C#2,
38,D2,73.416192,notes/038_D2.wav,single_note,D2,
39,D#2,77.781746,notes/039_Ds2.wav,single_note,D#2,
40,E2,82.406889,notes/040_E2.wav,single_note,E2,
41,F2,87.307058,notes/041_F2.wav,single_note,F2,
42,F#2,92.498606,notes/042_Fs2.wav,single_note,F#2,
43,G2,97.998859,notes/043_G2.wav,single_note,G2,
44,G#2,103.826174,notes/044_Gs2.wav,single_note,G#2,
45,A2,110.0,notes/045_A2.wav,single_note,A2,
46,A#2,116.54094,notes/046_As2.wav,single_note,A#2,
47,B2,123.470825,notes/047_B2.wav,single_note,B2,
48,C3,130.812783,notes/048_C3.wav,single_note,C3,
49,C#3,138.591315,notes/049_Cs3.wav,single_note,C#3,
50,D3,146.832384,notes/050_D3.wav,single_note,D3,
51,D#3,155.563492,notes/051_Ds3.wav,single_note,D#3,
52,E3,164.813778,notes/052_E3.wav,single_note,E3,
53,F3,174.614116,notes/053_F3.wav,single_note,F3,
54,F#3,184.997211,notes/054_Fs3.wav,single_note,F#3,
55,G3,195.997718,notes/055_G3.wav,single_note,G3,
56,G#3,207.652349,notes/056_Gs3.wav,single_note,G#3,
57,A3,220.0,notes/057_A3.wav,single_note,A3,
58,A#3,233.081881,notes/058_As3.wav,single_note,A#3,
59,B3,246.941651,notes/059_B3.wav,single_note,B3,
60,C4,261.625565,notes/060_C4.wav,single_note,C4,
61,C#4,277.182631,notes/061_Cs4.wav,single_note,C#4,
62,D4,293.664768,notes/062_D4.wav,single_note,D4,
63,D#4,311.126984,notes/063_Ds4.wav,single_note,D#4,
64,E4,329.627557,notes/064_E4.wav,single_note,E4,
65,F4,349.228231,notes/065_F4.wav,single_note,F4,
66,F#4,369.994423,notes/066_Fs4.wav,single_note,F#4,
67,G4,391.995436,notes/067_G4.wav,single_note,G4,
68,G#4,415.304698,notes/068_Gs4.wav,single_note,G#4,
69,A4,440.0,notes/069_A4.wav,single_note,A4,
70,A#4,466.163762,notes/070_As4.wav,single_note,A#4,
71,B4,493.883301,notes/071_B4.wav,single_note,B4,
72,C5,523.251131,notes/072_C5.wav,single_note,C5,
73,C#5,554.365262,notes/073_Cs5.wav,single_note,C#5,
74,D5,587.329536,notes/074_D5.wav,single_note,D5,
75,D#5,622.253967,notes/075_Ds5.wav,single_note,D#5,
76,E5,659.255114,notes/076_E5.wav,single_note,E5,
77,F5,698.456463,notes/077_F5.wav,single_note,F5,
78,F#5,739.988845,notes/078_Fs5.wav,single_note,F#5,
79,G5,783.990872,notes/079_G5.wav,single_note,G5,
80,G#5,830.609395,notes/080_Gs5.wav,single_note,G#5,
81,A5,880.0,notes/081_A5.wav,single_note,A5,
82,A#5,932.327523,notes/082_As5.wav,single_note,A#5,
83,B5,987.766603,notes/083_B5.wav,single_note,B5,
84,C6,1046.502261,notes/084_C6.wav,single_note,C6,
85,C#6,1108.730524,notes/085_Cs6.wav,single_note,C#6,
86,D6,1174.659072,notes/086_D6.wav,single_note,D6,
87,D#6,1244.507935,notes/087_Ds6.wav,single_note,D#6,
88,E6,1318.510228,notes/088_E6.wav,single_note,E6,
89,F6,1396.912926,notes/089_F6.wav,single_note,F6,
90,F#6,1479.977691,notes/090_Fs6.wav,single_note,F#6,
91,G6,1567.981744,notes/091_G6.wav,single_note,G6,
92,G#6,1661.21879,notes/092_Gs6.wav,single_note,G#6,
93,A6,1760.0,notes/093_A6.wav,single_note,A6,
94,A#6,1864.655046,notes/094_As6.wav,single_note,A#6,
95,B6,1975.533205,notes/095_B6.wav,single_note,B6,
96,C7,2093.004522,notes/096_C7.wav,single_note,C7,
97,C#7,2217.461048,notes/097_Cs7.wav,single_note,C#7,
98,D7,2349.318143,notes/098_D7.wav,single_note,D7,
99,D#7,2489.01587,notes/099_Ds7.wav,single_note,D#7,
100,E7,2637.020455,notes/100_E7.wav,single_note,E7,
101,F7,2793.825851,notes/101_F7.wav,single_note,F7,
102,F#7,2959.955382,notes/102_Fs7.wav,single_note,F#7,
103,G7,3135.963488,notes/103_G7.wav,single_note,G7,
104,G#7,3322.437581,notes/104_Gs7.wav,single_note,G#7,
105,A7,3520.0,notes/105_A7.wav,single_note,A7,
106,A#7,3729.310092,notes/106_As7.wav,single_note,A#7,
107,B7,3951.06641,notes/107_B7.wav,single_note,B7,
108,C8,4186.009045,notes/108_C8.wav,single_note,C8,
,,,loops/classical/fur_elise_motif_120bpm.wav,loop/classical,,120
,,,loops/classical/moonlight_sonata_texture_72bpm.wav,loop/classical,,72
,,,loops/classical/ode_to_joy_96bpm.wav,loop/classical,,96
,,,loops/dark_originals/notebook_shadows_110bpm.wav,loop/dark_originals,,110
,,,loops/dark_originals/ashen_doll_88bpm.wav,loop/dark_originals,,88
,,,loops/dark_originals/fog_corridor_78bpm.wav,loop/dark_originals,,78
loop::midnight_procession,midnight_procession,,loops/dark_originals/midnight_procession_82bpm.wav,dark_original_loop,D_minor,82
loop::cathedral_static,cathedral_static,,loops/dark_originals/cathedral_static_64bpm.wav,dark_original_loop,F_minor,64
loop::red_quarry,red_quarry,,loops/dark_originals/red_quarry_96bpm.wav,dark_original_loop,A_minor,96
loop::velvet_lantern,velvet_lantern,,loops/dark_originals/velvet_lantern_72bpm.wav,dark_original_loop,C_minor,72
loop::hollow_staircase,hollow_staircase,,loops/dark_originals/hollow_staircase_118bpm.wav,dark_original_loop,E_minor,118
loop::black_snow_room,black_snow_room,,loops/dark_originals/black_snow_room_58bpm.wav,dark_original_loop,B_minor,58
loop::glass_requiem,glass_requiem,,loops/dark_originals/glass_requiem_90bpm.wav,dark_original_loop,G_minor,90
loop::pale_machine_prayer,pale_machine_prayer,,loops/dark_originals/pale_machine_prayer_100bpm.wav,dark_original_loop,D_minor,100
loop::eclipse_archive,eclipse_archive,,loops/dark_originals/eclipse_archive_76bpm.wav,dark_original_loop,E_minor,76
loop::rusted_lullaby,rusted_lullaby,,loops/dark_originals/rusted_lullaby_68bpm.wav,dark_original_loop,A_minor,68
loop::stairwell_veil,stairwell_veil,,loops/dark_originals/stairwell_veil_84bpm.wav,dark_original_loop,C_minor,84
loop::graveyard_terminal,graveyard_terminal,,loops/dark_originals/graveyard_terminal_112bpm.wav,dark_original_loop,G_minor,112
